index,Player,Position,Team,Facility,Capacity,Location,Opened
0,Tom Brady,QB,Buccaneers,Raymond James Stadium,"65,890","Tampa, Florida",1998
1,Tristan Wirfs,OT,Buccaneers,Raymond James Stadium,"65,890","Tampa, Florida",1998
2,Mike Evans,WR,Buccaneers,Raymond James Stadium,"65,890","Tampa, Florida",1998
3,Devin White,LB,Buccaneers,Raymond James Stadium,"65,890","Tampa, Florida",1998
4,Antoine Winfield Jr.,S,Buccaneers,Raymond James Stadium,"65,890","Tampa, Florida",1998
5,Shaquil Barrett,LB,Buccaneers,Raymond James Stadium,"65,890","Tampa, Florida",1998
6,Aaron Rodgers,QB,Packers,Lambeau Field,"81,441","Green Bay, Wisconsin",1957
7,De'Vondre Campbell,LB,Packers,Lambeau Field,"81,441","Green Bay, Wisconsin",1957
8,Jonathan Taylor,RB,Colts,Lucas Oil Stadium,"67,000","Indianapolis, Indiana",2008
9,Shaquille Leonard,LB,Colts,Lucas Oil Stadium,"67,000","Indianapolis, Indiana",2008
10,Quenton Nelson,G,Colts,Lucas Oil Stadium,"67,000","Indianapolis, Indiana",2008
11,DeForest Buckner,DT,Colts,Lucas Oil Stadium,"67,000","Indianapolis, Indiana",2008
12,Kenny Moore II,CB,Colts,Lucas Oil Stadium,"67,000","Indianapolis, Indiana",2008
13,T.J. Watt,LB,Steelers,Heinz Field,"68,400","Pittsburgh, Pennsylvania",2001
14,Cameron Heyward,DE,Steelers,Heinz Field,"68,400","Pittsburgh, Pennsylvania",2001
15,Davante Adams,WR,Raiders,Allegiant Stadium,"65,000","Paradise, Nevada",2020
16,Darren Waller,TE,Raiders,Allegiant Stadium,"65,000","Paradise, Nevada",2020
17,Maxx Crosby,DE,Raiders,Allegiant Stadium,"65,000","Paradise, Nevada",2020
18,Chandler Jones,DE,Raiders,Allegiant Stadium,"65,000","Paradise, Nevada",2020
19,Derek Carr,QB,Raiders,Allegiant Stadium,"65,000","Paradise, Nevada",2020
20,Patrick Mahomes II,QB,Chiefs,Arrowhead Stadium,"76,416","Kansas City, Missouri",1972
21,Travis Kelce,TE,Chiefs,Arrowhead Stadium,"76,416","Kansas City, Missouri",1972
22,Chris Jones,DE,Chiefs,Arrowhead Stadium,"76,416","Kansas City, Missouri",1972
