index,player,position,team,stadium,location,capacity,opened
0,aaron rodgers,qb,packers,nan,nan,nan,nan
1,alvin kamara,rb,saints,mercedes-benz superdome,new orleans,"73,208",1975
2,cameron jordan,de,saints,mercedes-benz superdome,"new orleans, louisiana","73,208",1975
3,marshon lattimore,cb,saints,mercedes-benz superdome,"new orleans, louisiana","73,208",1975
4,tyrann mathieu,s,saints,mercedes-benz superdome,"new orleans, louisiana","73,208",1975
5,demario davis,nan,nan,mercedes-benz superdome,"new orleans, louisiana",nan,1975
6,austin ekeler,rb,chargers,nan,nan,nan,nan
7,cameron heyward,de,steelers,heinz field,"pittsburgh, pennsylvania","68,400",2001
8,t.j. watt,nan,nan,heinz field,"pittsburgh, pennsylvania",nan,2001
9,ceedee lamb,wr,cowboys,nan,nan,nan,nan
10,chris jones,de,chiefs,arrowhead stadium,"kansas city, missouri","76,416",1972
11,cordarrelle patterson,rb,falcons,mercedes-benz stadium,"atlanta, georgia","71,000",2017
12,kyle pitts,nan,nan,mercedes-benz stadium,"atlanta, georgia",nan,2017
13,da hopkins,wr,cardinals,nan,nan,nan,nan
14,dalvin cook,rb,vikings,u.s. bank stadium,"minneapolis, minnesota","66,655",2016
15,kirk cousins,qb,vikings,u.s. bank stadium,"minneapolis, minnesota","66,655",2016
16,dalvin cook,rb,vikings,us bank stadium,minneapolis,"66,655",2016
17,dak prescott,qb,cowboys,nan,nan,nan,nan
18,darius slay,cb,eagles,lincoln financial field,"philadelphia, pennsylvania","69,596",2003
19,jason kelce,c,eagles,lincoln financial field,"philadelphia, pennsylvania","69,596",2003
20,darren waller,te,raiders,allegiant stadium,"paradise, nevada","65,000",2020
21,maxx crosby,de,raiders,allegiant stadium,"paradise, nevada","65,000",2020
22,chandler jones,nan,nan,allegiant stadium,"paradise, nevada",nan,2020
23,derek carr,nan,nan,allegiant stadium,"paradise, nevada",nan,2020
24,davante adams,wr,raiders,nan,nan,nan,nan
25,david montgomery,rb,bears,soldier field,"chicago, illinois","61,500",1924[nb 1]
26,roquan smith,lb,bears,soldier field,"chicago, illinois","61,500",1924[nb 1]
27,robert quinn de,nan,nan,soldier field,"chicago, illinois",nan,1924[nb 1]
28,deebo samuel,wr,49ers,levi's stadium,"santa clara, california","68,500",2014
29,fred warner,lb,49ers,levi's stadium,"santa clara, california","68,500",2014
30,george kittle,te,49ers,levi's stadium,"santa clara, california","68,500",2014
31,nike bosa,de,49ers,levi's stadium,"santa clara, california","68,500",2014
32,trent williams,ot,49ers,levi's stadium,"santa clara, california","68,500",2014
33,kyle juszczyk,nan,nan,levi's stadium,"santa clara, california",nan,2014
34,denzel ward,cb,browns,nan,nan,nan,nan
35,derrick henry,rb,titans,nan,nan,nan,nan
36,derwin james,s,chargers,sofi stadium,"inglewood, california","70,240",2020
37,j.c. jackson,cb,chargers,sofi stadium,"inglewood, california","70,240",2020
38,justin herbert,qb,chargers,sofi stadium,"inglewood, california","70,240",2020
39,rashawn slater,ot,chargers,sofi stadium,"inglewood, california","70,240",2020
40,austin ekele,nan,nan,sofi stadium,inglewood,nan,2020
41,corey linsley,nan,nan,sofi stadium,"inglewood, california",nan,2020
42,keenan allen,nan,nan,sofi stadium,"inglewood, california",nan,2020
43,de'vondre campbell,lb,packers,nan,nan,nan,nan
44,j. jefferson,wr,vikings,nan,nan,nan,nan
45,jamarr chase,wr,bengals,paul brown,"cincinnati, ohio",nan,2000
46,ja'marr chase,wr,bengals,nan,nan,nan,nan
47,james conner,rb,cardinals,state farm stadium,"glendale, arizona","63,400",2006
48,kyler murray,qb,cardinals,state farm stadium,"glendale, arizona","63,400",2006
49,budda baker,nan,nan,state farm stadium,"glendale, arizona",nan,2006
50,deandre hopkins,nan,nan,state farm stadium,"glendale, arizona",nan,2006
51,jaylen waddle,wr,dolphins,hard rock stadium,"miami gardens, florida","65,326",1987
52,tyreek hill,wr,dolphins,hard rock stadium,"miami gardens, florida","65,326",1987
53,xavien howard,nan,nan,hard rock stadium,"miami gardens, florida",nan,1987
54,jimmie ward,s,49ers,nan,nan,nan,nan
55,joe burrow,qb,bengals,paul brown stadium,"cincinnati, ohio","65,515",2000
56,trey hendrickson,de,bengals,paul brown stadium,"cincinnati, ohio","65,515",2000
57,joe mixon,nan,nan,paul brown stadium,"cincinnati, ohio",nan,2000
58,joel bitonio,g,browns,nan,nan,nan,nan
59,joey bosa,lb,chargers,nan,nan,nan,nan
60,jonathan taylor,rb,colts,lucas oil stadium,"indianapolis, indiana","67,000",2008
61,kenny moore ii,cb,colts,lucas oil stadium,"indianapolis, indiana","67,000",2008
62,deforest buckner,nan,nan,lucas oil stadium,"indianapolis, indiana",nan,2008
63,jordan poyer,s,bills,nan,nan,nan,nan
64,josh allen,qb,bills,nan,nan,nan,nan
65,justin jefferson,wr,vikings,nan,nan,nan,nan
