Facility,Opened
Bills Stadium,1973
Heinz Field,2001
FedExField,1997
Levi's Stadium,2014
M and T Bank,1998
Paul Brown,2000
Raymond James Stadium,1998
Empower Field at Mile High,2001
Hard Rock Stadium,1987
M&T Bank Stadium,1998
FirstEnergy Stadium,1999
Allegiant Stadium,2020
Nissan Stadium,1999
MT Stadium,1998
U.S. Bank Stadium,2016
Mercedes-Benz Superdome,1975
AT&T Stadium,2009
Lucas Oil Stadium,2008
SoFi Stadium,2020
State Farm Stadium,2006
Lumen Field,2002
Lambeau Field,1957
Lincoln Financial Field,2003
Arrowhead Stadium,1972
Raymond James,1998
Soldier Field,1924[nb 1]
Mercedes-Benz Stadium,2017
Gillette Stadium,2002
Bank of America Stadium,1996
Paul Brown Stadium,2000
AT&T,2009
US Bank Stadium,2016
