Stadium,Opened
US Bank Stadium,2016
State Farm Stadium,2006
AT&T,2009
Arrowhead Stadium,1972
AT&T Stadium,2009
Empower Field at Mile High,2001
Bills Stadium,1973
Levi's Stadium,2014
Lucas Oil Stadium,2008
Heinz Field,2001
Hard Rock Stadium,1987
Allegiant Stadium,2020
Gillette Stadium,2002
SoFi Stadium,2020
Lucas Stadium,2008
Mercedes-Benz Stadium,2017
U.S. Bank Stadium,2016
FirstEnergy Stadium,1999
Raymond James,1998
Mercedes-Benz Superdome,1975
Bank of America Stadium,1996
Soldier Field,1924[nb 1]
M and T Bank,1998
Lumen Field,2002
Paul Brown Stadium,2000
Lambeau Field,1957
Lincoln Financial Field,2003
Raymond James Stadium,1998
Paul Brown,2000
Nissan Stadium,1999
MT Stadium,1998
